Gene	Wilcoxon rank-sum p-value	Log10 expression difference (T cells vs. epithelial)
krt8	6.667741334566001e-53	-9.251482625422396
cd81a	4.70527106412057e-48	-8.219920999669853
ENSDARG00000044129	7.253616587860586e-46	8.766271892350595
ENSDARG00000007275	8.707048637791916e-46	-8.58936921510302
ptpn4b	1.9281971975079726e-45	7.055612756832205
ctsla	1.422681770084748e-43	-6.835879721498692
ENSDARG00000074846	2.7143602468816883e-43	6.638852630724289
pmp22b	2.6290583090195424e-42	-7.520869349096118
KRT1	3.71182112906736e-42	-7.571649141201405
zfp36l1b	7.23039754771117e-42	-6.368260923025194
ccr9a	8.294449187215788e-42	7.456043089255344
tnfrsf9b	1.1624407329719864e-41	7.968867220652274
sdc4	4.671846296748023e-41	-7.408666858511852
aldob	5.159737244462567e-41	-7.15243973120673
ptprc	7.738464517613457e-40	6.078364682317575
ahnak	9.605263414246675e-40	-5.57820820461172
arhgdig	1.064539228498802e-39	7.123611656646351
socs3a	3.043354869804848e-39	-3.605123119309718
dusp2	4.4171571672082516e-39	8.412413545796486
tagapa	8.080426613633429e-38	7.404193312481445
cebpd	2.2617608864698943e-37	-7.147728113649801
rgs13	2.6523971889936707e-37	7.355639134738166
socs3a	5.9279344106519434e-37	-3.504492267913292
fosl1a	7.782049543311888e-37	-6.433957497659607
ENSDARG00000104037	3.073417214522791e-36	-3.865647508822202
srgn	2.1166080949388605e-35	6.569208424282214
wasb	1.1928176566636224e-34	6.14656307489759
ENSDARG00000089868	1.515298242524241e-34	5.6444349009844315
arpc1b	3.6434659334845134e-33	6.186680975484915
ENSDARG00000098293	1.1263626846604027e-32	6.3334716074112185
ENSDARG00000088017	2.569151968123083e-32	5.576972505143716
atf3	4.246874503381372e-32	-6.319346686883072
syk	2.041397455947099e-31	5.426610665083825
fosab	5.511842632394078e-31	-6.2214003955308135
ENSDARG00000098024	1.113471326234254e-30	4.9381055708479895
CD53	1.169911239233011e-30	5.855039444330248
ENSDARG00000100446	1.6235392695016e-30	-5.885001848923883
fosab	2.3021761844945502e-30	-4.99211475771319
sla2	3.581646473891565e-30	6.601024826222323
marcksl1b	4.978994274343934e-30	-6.080579382782168
il2rb	5.159245757185798e-30	5.219778356497819
tagapb	1.1607790506585521e-29	5.012914400090049
lpin1	8.382876942445422e-29	-5.39381934971631
ENSDARG00000089838	8.793689330263754e-29	5.392887278440061
pfn1	9.845815287903794e-29	6.365849073319271
ENSDARG00000099518	1.4052629927568616e-28	5.443421566211232
jun	1.4236459998923068e-28	-6.293059414605034
ENSDARG00000101785	2.7932397809417257e-28	5.833650391593794
pleca	3.405009389394625e-28	-4.753834741344392
lcp2a	5.098614890049524e-28	5.084875514861512
socs3b	6.822334778898095e-28	-5.073899787961458
vdac3	1.432889221390757e-27	-4.055027817159832
ENSDARG00000095556	8.434461229222362e-27	5.449776632198817
pmp22a	1.501465411670918e-26	-5.064609766579469
fabp3	1.694303309167346e-26	-5.512471814991085
hmha1b	2.9198411035799415e-26	4.977744069411295
lcp1	6.61471358617287e-26	4.871381214944016
runx3	1.533017685446094e-25	5.179207122608699
coro1a	1.6839642719396052e-25	5.675530470488452
ENSDARG00000096508	3.588461081973222e-25	5.107524582060326
ENSDARG00000036785	6.295003870383668e-25	4.797262462478471
wsb1	1.2670219875201433e-24	-4.202118979372716
ENSDARG00000075807	1.6238934979247928e-24	4.928546365268566
cebpb	2.6842024117414646e-24	6.657071474926167
scinlb	2.066886400016239e-23	4.964321293037675
hdlbpa	2.7363037682687695e-23	-3.9229276645015694
ENSDARG00000104132	5.457092676062519e-23	4.768286088507413
aldocb	6.852997357065665e-23	5.275309683252792
zfhx4	8.734899813659264e-23	-3.9237759052891397
sept9b	1.1299119341666623e-22	4.374903551937354
jdp2b	1.3273087655758791e-22	-5.294742711264676
aldh9a1a.1	1.6319661776314043e-22	-4.344993207668168
xbp1	1.8583049368707067e-22	-3.543233761382663
tat	2.720092904752115e-22	-4.915504500069088
rel	3.945613779144296e-22	5.024810132826427
mcl1b	9.21784997473483e-22	-3.028312171232202
id1	1.0912905237033612e-21	-4.895198157363647
zfhx3	2.1533169760218286e-21	-4.094060556668025
nfil3-6	3.798297153111185e-21	-3.9672690264605097
CU019646.2	6.926557247478632e-21	-5.1617555861528635
fxyd6l	8.022078785495979e-21	-3.6841521561084924
capgb	1.0030823733175147e-20	4.388357286326229
mdka	1.4190619319404676e-20	-4.116287728654729
pkma	4.0581047161403503e-20	4.651434044477952
fmnl1a	5.548323764970131e-20	3.8174681137476933
zfp36l1a	7.284936948708973e-20	4.56782380954406
tns1b	1.1218783717326e-19	-3.857190718243899
ptmaa	1.3354111228865216e-19	5.242432886481379
ef1	1.3787851064123196e-19	3.5907440422153862
ENSDARG00000097553	4.555816707479937e-19	2.725138139536884
cyr61	4.734619594856229e-19	-4.674221147661353
f3b	6.597061659214298e-19	-4.574192450189924
ndrg2	7.715942919046163e-19	-3.4846519588385396
ENSDARG00000058672	8.653681687163988e-19	3.149026320959979
csrp2	9.372960697583958e-19	-4.5045144540827
clic4	1.1224028079098452e-18	-3.1894726245672813
tspan36	1.3159640721259247e-18	-3.9788058637857997
cbx7a	1.3435270252092625e-18	-4.556879000328722
aqp3a	2.0384454385899003e-18	-5.339809270251282
rac2	2.3546330091975668e-18	4.05941973631919
